Event,Lab label,Latitude,Longitude,Depth top [m],Depth bot [m],Depth sed [m],Date/Time,pH,CaCO3 [%],TN [%],TS [%],TC [%],TOC [%],EC [µS/cm],2000-630 µm [%],630-200 µm [%],200-125 µm [%],125-63 µm [%],2000-63 µm [%],63-20 µm gU [%],20-6.3 µm mU [%],6.3-2 µm fU [%],63-2 µm [%],2-0.63 µm [%],0.63-0.063 µm [%],2-0.063 µm [%],63-0.063 µm [%],<2000 µm [%],Part size mean [mm],Bulk Density [g/cm³],Field Capacity [m³/m³],Wilting Point [m³/m³],Available Water Capacity [m³/m³],Hydraulic Conductivity [cm/hr],CEC [cmol/kg],Infiltration Rate [cm/hr],Salinity Class
EHS_2017_B197,41612,36.86806,42.70856,0.0,0.1,0.05,2017-09-01T00:00,7.39,40.04,0.10,<0.05,6.12,1.31,,2.38,4.11,2.44,4.97,13.91,9.7,20.7,22.5,53.5,14.0,18.2,32.2,85.7,99.6,0.0992,1.05735,0.41322735600000005,0.222683352,0.19054400400000004,0.583006929359981,19.468780000000002,0.21599378881987577,
EHS_2017_B199,41614,36.88586,42.7046,0.0,0.1,0.05,2017-09-01T00:00,7.24,44.11,<0.03,3.19,5.19,-0.1,,,,,,,,,,,,,,,,,1.4086820754716982,0.344972598490566,0.20546947622641507,0.13950312226415093,0.6361177149388647,9.208398113207545,0.26518446601941753,
EHS_2017_B199,41615,36.88619,42.70461,0.0,0.1,0.05,2017-09-01T00:00,7.34,41.22,0.08,0.09,5.38,0.43,,1.59,2.28,1.2,2.58,7.64,4.8,15.6,24.3,45.3,18.7,28.5,47.2,92.5,100.1,0.0529,1.2197900000000002,0.4344054680000001,0.25,0.18440546800000007,0.3930372537565031,16.740740000000002,0.1,
EHS_2017_B201,41616,36.84221,42.6409,0.0,0.1,0.05,2017-09-01T00:00,7.17,31.06,0.10,0.06,4.38,0.65,,1.26,2.37,1.58,3.44,8.65,6.2,15.8,24.6,47.1,15.7,28.2,43.9,91.0,99.7,0.0636,1.17711,0.43184594,0.25,0.18184593999999998,0.4243006690932209,16.764,0.1,
EHS_2017_B201,41618,36.84221,42.64059,0.0,0.1,0.05,2017-09-01T00:00,7.22,34.1,0.09,<0.05,4.51,0.41,,1.92,2.84,1.84,4.25,10.84,6.8,16.4,25.4,49.5,16.2,23.7,39.9,89.4,100.2,0.1405,1.25863,0.400694516,0.236668072,0.164026444,0.4781385020509997,14.03358,0.13583959899749373,
EHS_2017_B209,41625,36.88097,42.63129,0.0,0.1,0.05,2017-09-01T00:00,7.35,29.05,0.12,<0.05,4.54,1.05,,3.72,8.32,6.77,12.2,31.01,10.2,16.8,18.4,46.8,12.7,8.9,21.6,68.4,99.4,0.2016,1.17449,0.32746497999999996,0.16260116000000002,0.16486381999999994,1.0932354767868568,14.3019,0.7178240740740741,
EHS_2017_B210,41630,36.78129,42.74124,0.0,0.1,0.05,2017-09-01T00:00,7.36,26.83,0.18,2.16,4.58,1.36,,4.03,8.91,6.6,12.07,31.61,1.6,0.1,0.6,2.3,63.6,3.8,67.4,69.7,101.3,0.1287,1.0,0.5,0.25,0.25,0.5659703977139754,29.827280000000005,0.2344955489614243,
EHS_2017_B212,41631,36.79836,42.75292,0.0,0.1,0.05,2017-09-01T00:00,7.21,32.67,0.23,0.08,6.02,2.1,,2.71,3.84,1.92,4.17,12.63,7.6,20.3,26.3,54.8,15.1,17.6,32.7,87.5,100.1,0.105,1.0,0.45830996,0.24670232,0.21160764,0.5586164449442477,25.1535,0.19311926605504587,
EHS_2017_B217,41634,36.85055,42.59688,0.0,0.1,0.05,2017-09-01T00:00,7.23,32.02,0.18,<0.05,5.45,1.61,,2.85,5.41,3.07,7.38,18.71,10.5,19.9,21.4,52.2,14.8,13.8,28.6,80.8,99.5,0.1117,1.0,0.406131636,0.212855112,0.193276524,0.7019621841716928,20.298180000000002,0.32709790209790207,
EHS_2017_B217,41635,36.85063,42.59702,0.0,0.1,0.05,2017-09-01T00:00,7.22,30.09,0.17,<0.05,5.15,1.54,,2.91,4.66,2.67,6.03,16.28,10.4,19.8,23.4,54.4,13.5,15.4,28.9,83.3,99.6,0.1793,1.0120399999999998,0.40846330399999997,0.212448368,0.19601493599999997,0.6534821310180818,19.80812,0.2816608996539793,
EHS_2017_B224,41643,37.06598,42.4649,0.0,0.1,0.05,2017-09-01T00:00,7.12,24.6,0.24,<0.05,5.21,2.26,,3.37,10.26,5.89,7.69,27.21,7.3,15.3,18.4,41.8,13.4,17.7,31.1,72.9,100.1,0.1129,1.0,0.43163757599999997,0.243060592,0.18857698399999998,0.855684601343875,25.68128,0.437459807073955,
